gene1_name,gene2_name,cell_line,label
FLT3,HSP90AA1,A549,0
MAP2K2,MAPK1,A549,0
CDK6,CDKN1B,A549,0
DHFR,IGF1R,A549,0
ATM,RRM2,A549,0
ALDOB,ME2,A549,0
ARID1A,TP53,A549,0
BRD4,FLT3,A549,0
PLXNA3,PLXNB1,A549,0
MAP2K2,PARP2,A549,0
MET,SETD2,A549,0
CUL4A,CUL4B,A549,0
CDKN2A,SETD2,A549,0
KCNB1,KCNV1,A549,0
MSH6,VEGFA,A549,0
KCNA3,KCNC4,A549,0
ENO3,LDHB,A549,0
CDH1,FGFR3,A549,0
FGFR2,HSP90AA1,A549,0
FBP1,LDHB,A549,0
FLT3,SETD2,A549,0
PDHA2,TKT,A549,0
BRCA2,RPS6KB1,A549,0
DLD,PFKL,A549,0
BCL2L10,PARP2,A549,0
ARID2,CDK6,A549,0
FBP1,ME1,A549,0
AKT1,CDKN1B,A549,0
BCL2A1,PARP1,A549,0
MAP3K1,NF1,A549,1
ARID1A,WEE1,A549,0
FBP2,HK1,A549,0
ALDOB,PGAM1,A549,0
BRCA2,MCL1,A549,0
KCNF1,KCNG1,A549,0
CASP6,CASP7,A549,0
PLA2G10,PLA2G1B,A549,0
MAP2K1,MAPK1,A549,0
RPE,RPIA,A549,0
CDKN2A,MET,A549,0
G6PD,GAPDH,A549,0
CSNK1G1,CSNK1G2,A549,0
ALDOC,MDH1,A549,0
CDK4,ERBB2,A549,0
DAPK2,MYLK,A549,0
ERBB2,RB1,A549,1
ALDOA,PFKM,A549,0
ABL1,KIT,A549,0
FGFR3,MSH6,A549,0
BTK,KMT2D,A549,0
PTEN,TYMS,A549,0
FLT3,MET,A549,0
ARID1A,HDAC6,A549,0
BAK1,BAX,A549,0
ALK,IGF1R,A549,0
GAPDH,PKLR,A549,0
CASP8,VEGFA,A549,0
ABL1,PARP1,A549,0
PFKL,PKLR,A549,0
MLH1,RB1,A549,0
ENO2,PFKM,A549,0
LDHA,ME1,A549,0
ME2,RPIA,A549,0
HDAC6,PDGFRA,A549,0
LDHB,PGK1,A549,0
CHEK2,RUNX1,A549,0
CASP8,CDH1,A549,0
CDKN2A,ERBB2,A549,0
ARID1A,RB1,A549,0
CDK9,SMARCA4,A549,1
BCL2,TYMS,A549,0
JAK2,PARP1,A549,0
BAX,BOK,A549,0
ABL1,SMARCB1,A549,0
ARID2,TYMS,A549,0
SETD2,SMAD4,A549,0
MDH2,PDHA1,A549,0
CDKN1B,PBRM1,A549,0
DLAT,PDHB,A549,0
PBRM1,RPS6KB1,A549,0
FGFR3,PTEN,A549,0
ARID2,PIK3R1,A549,1
ATP6V1E1,ATP6V1E2,A549,0
PGAM1,PKM,A549,0
DHFR,FGFR3,A549,0
ENO2,PGLS,A549,0
BCL2L2,UBC,A549,0
LDHC,PGAM1,A549,0
FNTA,SETD2,A549,0
ALDOA,PGK1,A549,0
LDHA,PGAM2,A549,0
ENO1,MDH2,A549,0
CDK4,CHEK2,A549,0
ENO3,ME2,A549,0
HK3,PGAM1,A549,0
DHFR,VHL,A549,0
DHFR,SMO,A549,0
KCNG1,KCNV2,A549,0
PLXNA1,PLXNA4,A549,0
DLAT,RPE,A549,0
ALK,JAK2,A549,0
KCNA7,KCNC4,A549,0
CHEK1,JAK2,A549,0
ATP1A2,ATP4A,A549,0
BRD4,SETD2,A549,0
CASP8,ROR1,A549,0
HK3,PFKM,A549,0
BTK,KDM6A,A549,0
ENO2,PDHX,A549,0
DAPK1,STK17A,A549,0
FBP1,PKM,A549,0
SRC,TSC1,A549,0
FNTA,KIT,A549,0
PFKL,PGAM2,A549,0
GATA3,PIK3R1,A549,0
ALDOA,LDHB,A549,0
BCL2,HSP90AA1,A549,0
ALDOB,HK3,A549,0
GAPDHS,GOT1,A549,0
BNIP3L,BOK,A549,0
